"name","house_url","price","district","developer","class","building","flat","parking","technology","height","yard","floor","otdelka","min_area","building_rate","height_norm","aream_norm","flat_rate"
"ЖК Lamiya","www.lamiya-rams.kz","480000","Алмалинский р-н","Рамс Казахстан",2,3,335,1,3,2.9,1,13,2,30,3.16965174129353,0.257142857142857,0.0583333333333333,0.892399267399267
"ЖК на Ташкентской","www.jknatashkentskoy.kz","360000","Алмалинский р-н","MTS Company LTD",3,2,244,1,3,2.7,1,16,2,36,3.1707650273224,0.2,0.0833333333333333,0.845833333333333
"ЖК Atria","www.atria.bazis.kz","495000","Бостандыкский р-н","BAZIS-А",2,3,219,1,3,3,NA,16,3,52,2.17123287671233,0.285714285714286,0.15,0.831547619047619
"ЖК Амаль","www.novostroyki.kz",NA,"Ауэзовский р-н","Ауес и К",3,2,176,1,3,2.8,NA,12,2,44,2.17234848484848,0.228571428571428,0.116666666666667,0.928571428571428
"ЖК Mountain Park","www.mountainpark.kz","390000","Бостандыкский р-н","Real Invest Group",1,6,174,2,2,3,1,3,2,44,3.17241379310345,0.285714285714286,0.116666666666667,1.23571428571429
"ЖК Rams Luxury","www.ramslux.kz","465000","Бостандыкский р-н","Рамс Казахстан",2,3,174,1,3,2.85,1,13,2,52,3.17241379310345,0.242857142857143,0.15,0.96978021978022
"ЖК Дом на Абая","www.domnaabaya.kz","440000","Бостандыкский р-н","Рамс Казахстан",2,2,386,1,3,3,1,16,2,55,3.33592400690846,0.285714285714286,0.1625,1.01071428571429
"ЖК Exclusive Residence","www.ex-res.kz","445000","Медеуский р-н","Exclusive Qurylys",2,2,201,1,3,3.2,1,10,4,64,3.33830845771144,0.342857142857143,0.2,0.892857142857143
"ЖК Exclusive Life","www.exclusive-life.kz","6,00E+05","Алмалинский р-н","Exclusive Qurylys",2,1,196,2,3,3,1,12,2,51,3.33843537414966,0.285714285714286,0.145833333333333,1.01488095238095
"ЖК Sirius","www.zhksirius.kz","390000","Алмалинский р-н","Артемида ЛТД",2,1,110,2,3,3,1,10,4,37,3.34242424242424,0.285714285714286,0.0875,0.723214285714286
"ЖК Metropole","www.metropole.bazis.kz",NA,"Бостандыкский р-н","BAZIS-А",1,29,2000,1,3,3,NA,17,3,51,2.36831609195402,0.285714285714286,0.145833333333333,0.823704481792717
"ЖК Royal Gardens","www.rgardens.kz","660000","Бостандыкский р-н","BAZIS-А",1,15,129,1,3,3.3,1,3,3,159,3.4077519379845,0.371428571428571,0.595833333333333,1.63392857142857
"ЖК Miras Park","www.miraspark.com","523000","Бостандыкский р-н","Global Building Contract",1,8,442,1,3,3.3,1,7,2,64,3.46059577677225,0.371428571428571,0.2,1.21428571428571
"ЖК Remizovka","www.remizovka.bazis.kz","520000","Бостандыкский р-н","BAZIS-А",1,7,126,1,3,3,1,6,3,76,3.48412698412698,0.285714285714286,0.25,1.03571428571429
"ЖК Alatau Hills","www.emihome.kz","580000","Медеуский р-н","EMI",1,7,96,1,3,3,1,3,4,81,3.48660714285714,0.285714285714286,0.270833333333333,1.13988095238095
